ShipmentID,OrderID,OriginPort,DestinationPort,Carrier,Mode,DepartureDate,ArrivalDate,StandardTransitDays,ActualTransitDays,Status
S00065,O00065,Singapore,Antwerp,Evergreen,Sea,2024-03-17,2024-04-23,32,37,Delayed
S00066,O00066,Shanghai,New York,Maersk,Sea,2024-04-27,2024-05-26,30,29,Delivered
S00067,O00067,Singapore,Los Angeles,COSCO,Sea,2024-03-08,2024-03-28,20,20,Delivered
S00068,O00068,Shanghai,Los Angeles,DHL Aviation,Air,2024-04-04,2024-04-09,3,5,Delayed
S00069,O00069,Nhava Sheva,Houston,Evergreen,Sea,2024-03-18,2024-04-23,30,36,Delayed
S00070,O00070,Nhava Sheva,Houston,CMA CGM,Sea,2024-06-18,2024-07-17,30,29,Delivered
S00071,O00071,Singapore,London,FedEx Logistics,Air,2024-01-30,2024-01-31,2,1,Delivered
S00072,O00072,Singapore,Felixstowe,CMA CGM,Sea,2024-03-13,2024-04-17,34,35,Delayed
S00073,O00073,Singapore,Los Angeles,Evergreen,Sea,2024-06-11,2024-07-03,20,22,Delayed
S00074,O00074,Hamburg,Tokyo,Maersk,Sea,2024-01-24,2024-02-25,28,32,Delayed
S00075,O00075,Shanghai,Los Angeles,DHL Aviation,Air,2024-03-26,2024-03-29,3,3,Delivered
S00076,O00076,Hamburg,Tokyo,MSC,Sea,2024-07-08,2024-08-10,28,33,Delayed
S00077,O00077,Busan,New York,COSCO,Sea,2024-01-03,2024-02-03,32,31,Delivered
S00078,O00078,Hamburg,Antwerp,MSC,Sea,2024-05-19,2024-05-22,5,3,Delivered
S00079,O00079,Dubai,London,DHL Aviation,Air,2024-04-20,2024-04-22,2,2,Delivered
S00080,O00080,Hamburg,Vancouver,Maersk,Sea,2024-04-01,2024-04-24,22,23,Delayed
S00081,O00081,Singapore,Antwerp,Maersk,Sea,2024-03-31,2024-05-08,32,38,Delayed
S00082,O00082,Tokyo,Sydney,DHL Aviation,Air,2024-03-01,2024-03-03,2,2,Delivered
S00083,O00083,Singapore,London,FedEx Logistics,Air,2024-01-07,2024-01-09,2,2,Delivered
S00084,O00084,Hamburg,Vancouver,Hapag-Lloyd,Sea,2024-06-20,2024-07-13,22,23,Delayed
S00085,O00085,Hamburg,Antwerp,Maersk,Sea,2024-04-07,2024-04-10,5,3,Delivered
S00086,O00086,Singapore,London,DHL Aviation,Air,2024-04-27,2024-05-02,2,5,Delayed
S00087,O00087,Singapore,Los Angeles,MSC,Sea,2024-01-07,2024-01-28,20,21,Delayed
S00088,O00088,Hamburg,Tokyo,Maersk,Sea,2024-07-16,2024-08-15,28,30,Delayed
S00089,O00089,Nhava Sheva,Houston,Hapag-Lloyd,Sea,2024-06-22,2024-07-28,30,36,Delayed
S00090,O00090,Shanghai,Los Angeles,Maersk,Sea,2024-03-07,2024-03-25,18,18,Delivered
S00091,O00091,Hamburg,Tokyo,Maersk,Sea,2024-01-28,2024-02-29,28,32,Delayed
S00092,O00092,Hamburg,Vancouver,Hapag-Lloyd,Sea,2024-06-04,2024-07-02,22,28,Delayed
S00093,O00093,Shanghai,Sydney,MSC,Sea,2024-03-06,2024-03-24,20,18,Delivered
S00094,O00094,Shanghai,Los Angeles,COSCO,Sea,2024-05-17,2024-06-05,18,19,Delayed
S00095,O00095,Shanghai,New York,Evergreen,Sea,2024-03-25,2024-04-27,30,33,Delayed
S00096,O00096,Shanghai,New York,Evergreen,Sea,2024-03-17,2024-04-22,30,36,Delayed
S00097,O00097,Busan,New York,CMA CGM,Sea,2024-04-13,2024-05-17,32,34,Delayed
S00098,O00098,Singapore,Los Angeles,Hapag-Lloyd,Sea,2024-06-19,2024-07-13,20,24,Delayed
S00099,O00099,Singapore,Felixstowe,COSCO,Sea,2024-05-25,2024-06-30,34,36,Delayed
S00100,O00100,Shanghai,Los Angeles,CMA CGM,Sea,2024-03-14,2024-04-02,18,19,Delayed
S00101,O00101,Shanghai,Sydney,COSCO,Sea,2024-06-16,2024-07-09,20,23,Delayed
S00102,O00102,Busan,Sydney,Evergreen,Sea,2024-02-24,2024-03-17,16,22,Delayed
S00103,O00103,Hamburg,Antwerp,MSC,Sea,2024-06-17,2024-06-21,5,4,Delivered
S00104,O00104,Singapore,Antwerp,Evergreen,Sea,2024-06-07,2024-07-12,32,35,Delayed
S00105,O00105,Singapore,Los Angeles,Evergreen,Sea,2024-03-20,2024-04-10,20,21,Delayed
S00106,O00106,Singapore,London,DHL Aviation,Air,2024-01-12,2024-01-15,2,3,Delayed
S00107,O00107,Dubai,London,DHL Aviation,Air,2024-04-26,2024-05-02,2,6,Delayed
S00108,O00108,Dubai,London,DHL Aviation,Air,2024-07-02,2024-07-08,2,6,Delayed
S00109,O00109,Singapore,Los Angeles,MSC,Sea,2024-06-16,2024-07-04,20,18,Delivered
S00110,O00110,Shanghai,Los Angeles,FedEx Logistics,Air,2024-02-26,2024-02-29,3,3,Delivered
S00111,O00111,Hong Kong,Los Angeles,FedEx Logistics,Air,2024-01-13,2024-01-21,2,8,Delayed
S00112,O00112,Shanghai,New York,Hapag-Lloyd,Sea,2024-02-04,2024-03-10,30,35,Delayed
S00113,O00113,Nhava Sheva,Houston,COSCO,Sea,2024-03-22,2024-04-26,30,35,Delayed
S00114,O00114,Hamburg,Antwerp,COSCO,Sea,2024-04-19,2024-04-30,5,11,Delayed
S00115,O00115,Singapore,Felixstowe,Evergreen,Sea,2024-05-01,2024-06-09,34,39,Delayed
S00116,O00116,Singapore,Los Angeles,Evergreen,Sea,2024-03-11,2024-04-06,20,26,Delayed
S00117,O00117,Singapore,Los Angeles,CMA CGM,Sea,2024-04-22,2024-05-11,20,19,Delivered
S00118,O00118,Singapore,Los Angeles,CMA CGM,Sea,2024-03-26,2024-04-18,20,23,Delayed
S00119,O00119,Shanghai,Los Angeles,DHL Aviation,Air,2024-02-08,2024-02-12,3,4,Delayed
S00120,O00120,Singapore,Felixstowe,Evergreen,Sea,2024-02-24,2024-03-28,34,33,Delivered
S00121,O00121,Hamburg,Vancouver,COSCO,Sea,2024-04-29,2024-05-25,22,26,Delayed
S00122,O00122,Busan,New York,Hapag-Lloyd,Sea,2024-07-16,2024-08-15,32,30,Delivered
S00123,O00123,Dubai,London,FedEx Logistics,Air,2024-05-02,2024-05-03,2,1,Delivered
S00124,O00124,Frankfurt,New York,FedEx Logistics,Air,2024-04-17,2024-04-25,2,8,Delayed
S00125,O00125,Nhava Sheva,Houston,COSCO,Sea,2024-02-26,2024-04-01,30,35,Delayed
S00126,O00126,Busan,New York,Hapag-Lloyd,Sea,2024-01-08,2024-02-13,32,36,Delayed
S00127,O00127,Singapore,Antwerp,Hapag-Lloyd,Sea,2024-07-04,2024-08-05,32,32,Delivered
S00128,O00128,Singapore,London,DHL Aviation,Air,2024-04-10,2024-04-11,2,1,Delivered
S00129,O00129,Busan,New York,MSC,Sea,2024-04-28,2024-05-30,32,32,Delivered
S00130,O00130,Busan,New York,CMA CGM,Sea,2024-02-24,2024-04-01,32,37,Delayed
S00131,O00131,Busan,New York,CMA CGM,Sea,2024-07-11,2024-08-16,32,36,Delayed
S00132,O00132,Shanghai,New York,Hapag-Lloyd,Sea,2024-01-05,2024-02-10,30,36,Delayed
S00133,O00133,Hamburg,Vancouver,MSC,Sea,2024-06-15,2024-07-06,22,21,Delivered
S00134,O00134,Singapore,Antwerp,Maersk,Sea,2024-07-12,2024-08-11,32,30,Delivered
S00135,O00135,Singapore,London,DHL Aviation,Air,2024-06-08,2024-06-10,2,2,Delivered
S00136,O00136,Busan,Sydney,Evergreen,Sea,2024-01-30,2024-02-16,16,17,Delayed
S00137,O00137,Hamburg,Tokyo,CMA CGM,Sea,2024-02-12,2024-03-10,28,27,Delivered
S00138,O00138,Singapore,Felixstowe,CMA CGM,Sea,2024-01-28,2024-02-29,34,32,Delivered
S00139,O00139,Dubai,London,FedEx Logistics,Air,2024-04-11,2024-04-14,2,3,Delayed
S00140,O00140,Hamburg,Antwerp,Evergreen,Sea,2024-03-03,2024-03-07,5,4,Delivered
S00141,O00141,Hamburg,Tokyo,Evergreen,Sea,2024-06-02,2024-06-29,28,27,Delivered
S00142,O00142,Shanghai,Sydney,Maersk,Sea,2024-03-29,2024-04-24,20,26,Delayed
S00143,O00143,Hamburg,Vancouver,Maersk,Sea,2024-05-09,2024-06-03,22,25,Delayed
S00144,O00144,Busan,New York,Hapag-Lloyd,Sea,2024-01-28,2024-03-04,32,36,Delayed
S00145,O00145,Hong Kong,Los Angeles,FedEx Logistics,Air,2024-06-30,2024-07-02,2,2,Delivered
S00146,O00146,Hamburg,Antwerp,COSCO,Sea,2024-06-15,2024-06-22,5,7,Delayed
S00147,O00147,Nhava Sheva,Houston,Hapag-Lloyd,Sea,2024-04-29,2024-06-02,30,34,Delayed
S00148,O00148,Dubai,London,FedEx Logistics,Air,2024-03-23,2024-03-26,2,3,Delayed
S00149,O00149,Shanghai,Los Angeles,FedEx Logistics,Air,2024-04-25,2024-04-29,3,4,Delayed
S00150,O00150,Shanghai,Sydney,COSCO,Sea,2024-06-20,2024-07-14,20,24,Delayed
S00151,O00151,Busan,Sydney,CMA CGM,Sea,2024-02-16,2024-03-08,16,21,Delayed
S00152,O00152,Hamburg,Tokyo,CMA CGM,Sea,2024-03-12,2024-04-11,28,30,Delayed
S00153,O00153,Nhava Sheva,Houston,MSC,Sea,2024-01-22,2024-02-22,30,31,Delayed
S00154,O00154,Busan,Sydney,COSCO,Sea,2024-07-13,2024-07-30,16,17,Delayed
S00155,O00155,Singapore,Antwerp,Evergreen,Sea,2024-05-05,2024-06-11,32,37,Delayed
S00156,O00156,Shanghai,New York,CMA CGM,Sea,2024-02-26,2024-03-31,30,34,Delayed
S00157,O00157,Hamburg,Tokyo,Evergreen,Sea,2024-05-28,2024-06-28,28,31,Delayed
S00158,O00158,Nhava Sheva,Houston,CMA CGM,Sea,2024-04-18,2024-05-24,30,36,Delayed
S00159,O00159,Hamburg,Antwerp,Hapag-Lloyd,Sea,2024-03-10,2024-03-17,5,7,Delayed
S00160,O00160,Shanghai,New York,Evergreen,Sea,2024-02-19,2024-03-23,30,33,Delayed
S00161,O00161,Nhava Sheva,Houston,Evergreen,Sea,2024-02-17,2024-03-19,30,31,Delayed
S00162,O00162,Busan,Sydney,CMA CGM,Sea,2024-07-04,2024-07-26,16,22,Delayed
S00163,O00163,Shanghai,New York,MSC,Sea,2024-03-16,2024-04-16,30,31,Delayed
S00164,O00164,Hamburg,Tokyo,Maersk,Sea,2024-06-30,2024-08-03,28,34,Delayed
S00165,O00165,Shanghai,Los Angeles,Maersk,Sea,2024-05-21,2024-06-10,18,20,Delayed
S00166,O00166,Singapore,Felixstowe,Evergreen,Sea,2024-07-11,2024-08-19,34,39,Delayed
S00167,O00167,Shanghai,Los Angeles,COSCO,Sea,2024-03-13,2024-04-05,18,23,Delayed
S00168,O00168,Hamburg,Vancouver,MSC,Sea,2024-01-14,2024-02-07,22,24,Delayed
S00169,O00169,Tokyo,Sydney,DHL Aviation,Air,2024-01-17,2024-01-23,2,6,Delayed
S00170,O00170,Shanghai,Sydney,Evergreen,Sea,2024-06-24,2024-07-12,20,18,Delivered
S00171,O00171,Shanghai,Sydney,CMA CGM,Sea,2024-01-22,2024-02-12,20,21,Delayed
S00172,O00172,Busan,New York,COSCO,Sea,2024-06-01,2024-07-04,32,33,Delayed
S00173,O00173,Busan,New York,Hapag-Lloyd,Sea,2024-04-23,2024-05-27,32,34,Delayed
S00174,O00174,Tokyo,Sydney,FedEx Logistics,Air,2024-05-25,2024-05-26,2,1,Delivered
S00175,O00175,Hamburg,Antwerp,Maersk,Sea,2024-07-14,2024-07-20,5,6,Delayed
S00176,O00176,Hamburg,Tokyo,Evergreen,Sea,2024-01-21,2024-02-18,28,28,Delivered
S00177,O00177,Nhava Sheva,Houston,Maersk,Sea,2024-02-10,2024-03-09,30,28,Delivered
S00178,O00178,Hamburg,Antwerp,COSCO,Sea,2024-04-30,2024-05-07,5,7,Delayed
S00179,O00179,Hamburg,Tokyo,Evergreen,Sea,2024-03-13,2024-04-15,28,33,Delayed
S00180,O00180,Singapore,Los Angeles,CMA CGM,Sea,2024-06-09,2024-06-30,20,21,Delayed
S00181,O00181,Nhava Sheva,Houston,MSC,Sea,2024-06-14,2024-07-14,30,30,Delivered
S00182,O00182,Singapore,London,DHL Aviation,Air,2024-01-16,2024-01-18,2,2,Delivered
S00183,O00183,Shanghai,Sydney,Evergreen,Sea,2024-05-25,2024-06-16,20,22,Delayed
S00184,O00184,Busan,Sydney,Evergreen,Sea,2024-03-18,2024-04-07,16,20,Delayed
S00185,O00185,Dubai,London,FedEx Logistics,Air,2024-04-22,2024-04-23,2,1,Delivered
S00186,O00186,Busan,New York,Evergreen,Sea,2024-03-23,2024-04-26,32,34,Delayed
S00187,O00187,Singapore,Los Angeles,Evergreen,Sea,2024-05-27,2024-06-14,20,18,Delivered
S00188,O00188,Hong Kong,Los Angeles,FedEx Logistics,Air,2024-05-27,2024-05-28,2,1,Delivered
S00189,O00189,Singapore,Felixstowe,Hapag-Lloyd,Sea,2024-05-12,2024-06-20,34,39,Delayed
S00190,O00190,Singapore,London,FedEx Logistics,Air,2024-06-11,2024-06-18,2,7,Delayed
S00191,O00191,Tokyo,Sydney,FedEx Logistics,Air,2024-04-14,2024-04-19,2,5,Delayed
S00192,O00192,Shanghai,New York,MSC,Sea,2024-03-25,2024-04-28,30,34,Delayed
S00193,O00193,Hamburg,Tokyo,Evergreen,Sea,2024-04-12,2024-05-16,28,34,Delayed
S00194,O00194,Shanghai,New York,CMA CGM,Sea,2024-03-05,2024-04-07,30,33,Delayed
S00195,O00195,Busan,New York,COSCO,Sea,2024-01-01,2024-02-08,32,38,Delayed
S00196,O00196,Shanghai,Los Angeles,MSC,Sea,2024-05-12,2024-06-02,18,21,Delayed
S00197,O00197,Busan,Sydney,Evergreen,Sea,2024-04-23,2024-05-07,16,14,Delivered
S00198,O00198,Nhava Sheva,Houston,MSC,Sea,2024-03-14,2024-04-18,30,35,Delayed
S00199,O00199,Tokyo,Sydney,DHL Aviation,Air,2024-01-08,2024-01-11,2,3,Delayed
S00200,O00200,Hamburg,Tokyo,COSCO,Sea,2024-01-04,2024-02-07,28,34,Delayed
S00201,O00201,Singapore,Los Angeles,Maersk,Sea,2024-04-28,2024-05-17,20,19,Delivered
S00202,O00202,Singapore,Felixstowe,Hapag-Lloyd,Sea,2024-07-02,2024-08-07,34,36,Delayed
S00203,O00203,Hamburg,Tokyo,Hapag-Lloyd,Sea,2024-05-03,2024-06-05,28,33,Delayed
S00204,O00204,Nhava Sheva,Houston,MSC,Sea,2024-04-08,2024-05-09,30,31,Delayed
S00205,O00205,Dubai,London,DHL Aviation,Air,2024-01-18,2024-01-22,2,4,Delayed
S00206,O00206,Busan,New York,CMA CGM,Sea,2024-05-09,2024-06-12,32,34,Delayed
S00207,O00207,Frankfurt,New York,FedEx Logistics,Air,2024-05-30,2024-06-06,2,7,Delayed
S00208,O00208,Tokyo,Sydney,FedEx Logistics,Air,2024-03-29,2024-04-03,2,5,Delayed
S00209,O00209,Nhava Sheva,Houston,Hapag-Lloyd,Sea,2024-04-26,2024-05-29,30,33,Delayed
S00210,O00210,Hong Kong,Los Angeles,DHL Aviation,Air,2024-05-26,2024-06-01,2,6,Delayed
S00211,O00211,Busan,New York,Maersk,Sea,2024-03-22,2024-04-28,32,37,Delayed
S00212,O00212,Busan,New York,Hapag-Lloyd,Sea,2024-06-18,2024-07-20,32,32,Delivered
S00213,O00213,Shanghai,Los Angeles,MSC,Sea,2024-05-08,2024-05-29,18,21,Delayed
S00214,O00214,Tokyo,Sydney,DHL Aviation,Air,2024-05-14,2024-05-21,2,7,Delayed
S00215,O00215,Singapore,Felixstowe,Hapag-Lloyd,Sea,2024-06-16,2024-07-20,34,34,Delivered
S00216,O00216,Hamburg,Tokyo,CMA CGM,Sea,2024-06-08,2024-07-10,28,32,Delayed
S00217,O00217,Hamburg,Vancouver,Evergreen,Sea,2024-05-16,2024-06-11,22,26,Delayed
S00218,O00218,Hong Kong,Los Angeles,FedEx Logistics,Air,2024-05-18,2024-05-19,2,1,Delivered
S00219,O00219,Singapore,Los Angeles,Evergreen,Sea,2024-06-24,2024-07-16,20,22,Delayed
S00220,O00220,Hong Kong,Los Angeles,DHL Aviation,Air,2024-04-21,2024-04-22,2,1,Delivered
S00221,O00221,Hamburg,Antwerp,Maersk,Sea,2024-04-23,2024-04-28,5,5,Delivered
S00222,O00222,Shanghai,Los Angeles,Maersk,Sea,2024-03-24,2024-04-09,18,16,Delivered
S00223,O00223,Hamburg,Vancouver,Hapag-Lloyd,Sea,2024-02-07,2024-03-01,22,23,Delayed
S00224,O00224,Shanghai,Sydney,Evergreen,Sea,2024-02-16,2024-03-07,20,20,Delivered
S00225,O00225,Shanghai,Sydney,Hapag-Lloyd,Sea,2024-06-07,2024-06-28,20,21,Delayed
S00226,O00226,Shanghai,Sydney,MSC,Sea,2024-02-29,2024-03-25,20,25,Delayed
S00227,O00227,Busan,Sydney,CMA CGM,Sea,2024-06-19,2024-07-03,16,14,Delivered
S00228,O00228,Tokyo,Sydney,FedEx Logistics,Air,2024-06-22,2024-06-30,2,8,Delayed
S00229,O00229,Busan,Sydney,CMA CGM,Sea,2024-05-30,2024-06-17,16,18,Delayed
S00230,O00230,Busan,New York,Evergreen,Sea,2024-03-05,2024-04-11,32,37,Delayed
S00231,O00231,Singapore,London,FedEx Logistics,Air,2024-05-03,2024-05-04,2,1,Delivered
S00232,O00232,Shanghai,Sydney,CMA CGM,Sea,2024-05-27,2024-06-18,20,22,Delayed
S00233,O00233,Frankfurt,New York,DHL Aviation,Air,2024-06-17,2024-06-23,2,6,Delayed
S00234,O00234,Shanghai,Sydney,Evergreen,Sea,2024-07-18,2024-08-05,20,18,Delivered
S00235,O00235,Hong Kong,Los Angeles,FedEx Logistics,Air,2024-03-14,2024-03-17,2,3,Delayed
S00236,O00236,Hamburg,Vancouver,MSC,Sea,2024-06-11,2024-07-04,22,23,Delayed
S00237,O00237,Singapore,Antwerp,Evergreen,Sea,2024-07-15,2024-08-16,32,32,Delivered
S00238,O00238,Singapore,Antwerp,Evergreen,Sea,2024-01-11,2024-02-14,32,34,Delayed
S00239,O00239,Shanghai,Los Angeles,COSCO,Sea,2024-04-03,2024-04-21,18,18,Delivered
S00240,O00240,Hamburg,Tokyo,CMA CGM,Sea,2024-07-10,2024-08-11,28,32,Delayed
S00241,O00241,Singapore,Felixstowe,COSCO,Sea,2024-04-03,2024-05-13,34,40,Delayed
S00242,O00242,Hamburg,Tokyo,MSC,Sea,2024-03-06,2024-04-08,28,33,Delayed
S00243,O00243,Frankfurt,New York,FedEx Logistics,Air,2024-01-30,2024-02-06,2,7,Delayed
S00244,O00244,Singapore,London,DHL Aviation,Air,2024-06-22,2024-06-28,2,6,Delayed
S00245,O00245,Dubai,London,FedEx Logistics,Air,2024-01-24,2024-01-30,2,6,Delayed
S00246,O00246,Nhava Sheva,Houston,Maersk,Sea,2024-04-26,2024-05-29,30,33,Delayed
S00247,O00247,Singapore,Antwerp,CMA CGM,Sea,2024-05-29,2024-07-04,32,36,Delayed
S00248,O00248,Frankfurt,New York,DHL Aviation,Air,2024-06-21,2024-06-24,2,3,Delayed
S00249,O00249,Shanghai,Sydney,COSCO,Sea,2024-03-24,2024-04-14,20,21,Delayed
S00250,O00250,Singapore,Antwerp,Hapag-Lloyd,Sea,2024-06-28,2024-08-01,32,34,Delayed
S00251,O00251,Shanghai,New York,MSC,Sea,2024-01-12,2024-02-09,30,28,Delivered
S00252,O00252,Busan,Sydney,Maersk,Sea,2024-01-25,2024-02-11,16,17,Delayed
S00253,O00253,Singapore,London,FedEx Logistics,Air,2024-04-26,2024-05-01,2,5,Delayed
S00254,O00254,Hamburg,Antwerp,Evergreen,Sea,2024-05-18,2024-05-27,5,9,Delayed
S00255,O00255,Hamburg,Antwerp,MSC,Sea,2024-04-16,2024-04-20,5,4,Delivered
S00256,O00256,Dubai,London,FedEx Logistics,Air,2024-03-12,2024-03-13,2,1,Delivered
S00257,O00257,Singapore,Los Angeles,Hapag-Lloyd,Sea,2024-04-23,2024-05-14,20,21,Delayed
S00258,O00258,Shanghai,Los Angeles,FedEx Logistics,Air,2024-05-19,2024-05-25,3,6,Delayed
S00259,O00259,Hamburg,Tokyo,MSC,Sea,2024-02-01,2024-03-05,28,33,Delayed
S00260,O00260,Singapore,Los Angeles,Evergreen,Sea,2024-06-12,2024-06-30,20,18,Delivered
S00261,O00261,Hamburg,Vancouver,MSC,Sea,2024-02-02,2024-02-25,22,23,Delayed
S00262,O00262,Nhava Sheva,Houston,MSC,Sea,2024-05-30,2024-06-30,30,31,Delayed
S00263,O00263,Singapore,London,FedEx Logistics,Air,2024-07-17,2024-07-19,2,2,Delivered
S00264,O00264,Shanghai,Sydney,Maersk,Sea,2024-03-11,2024-03-31,20,20,Delivered
S00265,O00265,Dubai,London,FedEx Logistics,Air,2024-02-14,2024-02-15,2,1,Delivered
