OrderID,CustomerID,ProductID,OrderDate,Quantity,OrderValue
O00332,C009,P040,2024-02-20,631,304.93
O00333,C037,P007,2024-02-26,614,266.19
O00334,C039,P037,2024-03-28,102,213.15
O00335,C020,P008,2024-05-15,647,392.7
O00336,C020,P033,2024-07-12,237,174.05
O00337,C008,P005,2024-03-16,938,288.05
O00338,C015,P047,2024-01-02,326,230.61
O00339,C002,P028,2024-01-12,159,388.01
O00340,C014,P035,2024-06-03,862,169.39
O00341,C033,P005,2024-03-02,80,392.26
O00342,C016,P032,2024-04-11,919,52.03
O00343,C029,P011,2024-06-24,122,302.93
O00344,C036,P009,2024-01-10,190,226.99
O00345,C016,P020,2024-04-12,97,204.65
O00346,C019,P040,2024-04-09,569,487.92
O00347,C002,P049,2024-06-06,164,264.22
O00348,C020,P004,2024-02-13,765,492.6
O00349,C030,P024,2024-01-19,420,61.06
O00350,C016,P021,2024-05-31,510,296.69
O00351,C006,P010,2024-03-14,533,473.9
O00352,C005,P047,2024-01-07,419,157.88
O00353,C032,P039,2024-05-13,998,110.82
O00354,C016,P038,2024-05-17,222,317.39
O00355,C016,P033,2024-02-09,738,105.7
O00356,C036,P032,2024-01-21,334,450.9
O00357,C004,P032,2024-01-12,308,150.55
O00358,C025,P011,2024-02-06,599,455.93
O00359,C017,P014,2024-06-10,221,481.6
O00360,C032,P025,2024-06-18,92,480.71
O00361,C014,P021,2024-06-10,436,263.25
O00362,C038,P018,2024-02-05,330,457.29
O00363,C031,P012,2024-03-14,928,112.28
O00364,C019,P031,2024-04-18,202,275.69
O00365,C016,P015,2024-03-04,362,385.98
O00366,C025,P003,2024-02-10,841,448.64
O00367,C014,P012,2024-06-24,189,117.48
O00368,C022,P025,2024-04-24,152,274.51
O00369,C034,P014,2024-03-31,362,356.8
O00370,C005,P030,2024-06-20,274,61.4
O00371,C006,P047,2024-05-09,861,281.99
O00372,C037,P046,2024-01-22,196,180.04
O00373,C010,P018,2024-06-17,162,415.62
O00374,C039,P028,2024-02-13,281,210.29
O00375,C032,P024,2024-06-03,214,111.81
O00376,C033,P015,2024-06-27,202,64.02
O00377,C015,P038,2024-06-07,551,395.75
O00378,C036,P003,2024-06-07,887,61.95
O00379,C012,P040,2024-06-04,286,233.38
O00380,C035,P024,2024-04-22,900,87.34
O00381,C022,P018,2024-03-30,838,380.88
O00382,C019,P018,2024-03-20,800,187.66
O00383,C039,P042,2024-07-19,524,464.64
O00384,C010,P028,2024-05-05,625,134.67
O00385,C014,P017,2024-02-29,595,145.94
O00386,C023,P024,2024-05-04,756,251.33
O00387,C015,P032,2024-06-10,604,203.12
O00388,C039,P013,2024-02-29,972,84.36
O00389,C022,P014,2024-04-09,166,115.29
O00390,C017,P023,2024-04-17,440,362.61
O00391,C025,P029,2024-06-06,982,208.4
O00392,C003,P023,2024-04-23,539,98.18
O00393,C006,P024,2024-05-02,687,340.53
O00394,C035,P015,2024-06-15,980,153.5
O00395,C015,P024,2024-02-27,454,125.1
O00396,C024,P022,2024-06-10,67,105.08
O00397,C036,P020,2024-03-26,165,392.38
O00398,C016,P047,2024-01-15,316,87.42
O00399,C029,P013,2024-02-29,891,347.85
O00400,C009,P009,2024-01-07,82,87.36
O00401,C015,P035,2024-04-26,229,432.5
O00402,C028,P050,2024-06-10,90,482.77
O00403,C035,P026,2024-04-11,694,490.59
O00404,C027,P027,2024-05-22,285,50.33
O00405,C002,P040,2024-05-03,687,487.25
O00406,C035,P035,2024-03-13,467,411.08
O00407,C040,P033,2024-06-01,925,253.85
O00408,C036,P007,2024-04-19,639,126.07
O00409,C022,P037,2024-05-25,850,482.7
O00410,C002,P009,2024-01-23,683,471.13
O00411,C038,P042,2024-03-19,262,286.71
O00412,C021,P001,2024-02-18,885,305.86
O00413,C029,P024,2024-02-07,244,107.83
O00414,C025,P039,2024-07-03,346,431.67
O00415,C026,P013,2024-07-09,943,359.26
O00416,C004,P045,2024-02-02,998,86.79
O00417,C001,P026,2024-03-03,906,195.31
O00418,C013,P011,2024-02-20,292,320.24
O00419,C039,P005,2024-04-10,895,93.98
O00420,C025,P025,2024-05-22,366,447.82
O00421,C008,P005,2024-07-14,397,91.91
O00422,C025,P019,2024-07-10,898,365.75
O00423,C017,P027,2024-06-20,866,199.95
O00424,C013,P040,2024-02-07,475,399.64
O00425,C031,P036,2024-06-01,204,244.64
O00426,C004,P034,2024-01-05,65,51.6
O00427,C001,P013,2024-04-26,241,122.12
O00428,C001,P034,2024-01-11,566,397.51
O00429,C020,P043,2024-05-16,244,460.7
O00430,C013,P045,2024-01-21,323,328.83
O00431,C008,P002,2024-03-03,423,145.7
O00432,C034,P042,2024-05-12,725,320.21
O00433,C011,P040,2024-01-26,770,53.67
O00434,C018,P011,2024-07-07,564,444.75
O00435,C016,P048,2024-02-07,481,106.05
O00436,C006,P002,2024-01-09,729,486.25
O00437,C010,P048,2024-05-05,911,301.41
O00438,C014,P046,2024-06-10,594,127.14
O00439,C007,P003,2024-02-02,149,485.09
O00440,C007,P001,2024-07-12,986,236.74
O00441,C039,P032,2024-01-13,877,281.63
O00442,C031,P044,2024-05-24,76,176.68
O00443,C010,P045,2024-06-21,84,311.73
O00444,C030,P044,2024-06-21,465,429.73
O00445,C016,P007,2024-04-19,83,72.7
O00446,C022,P013,2024-03-20,128,318.57
O00447,C018,P009,2024-06-30,187,461.66
O00448,C021,P048,2024-04-08,877,157.27
O00449,C006,P017,2024-05-01,960,438.35
O00450,C012,P042,2024-07-17,744,205.74
O00451,C025,P010,2024-05-03,250,152.68
O00452,C030,P024,2024-02-02,90,311.71
O00453,C020,P017,2024-03-10,576,149.96
O00454,C019,P048,2024-05-06,645,444.64
O00455,C027,P001,2024-02-24,867,495.3
O00456,C006,P028,2024-04-11,781,280.61
O00457,C025,P015,2024-07-09,803,63.93
O00458,C013,P030,2024-05-04,216,118.4
O00459,C021,P031,2024-06-17,431,295.36
O00460,C016,P026,2024-05-15,263,319.87
O00461,C003,P007,2024-04-23,892,145.28
O00462,C040,P036,2024-05-11,608,95.84
O00463,C037,P021,2024-02-06,893,248.74
O00464,C009,P012,2024-05-13,738,143.9
O00465,C022,P034,2024-02-29,489,111.33
O00466,C010,P043,2024-03-11,184,152.46
O00467,C009,P010,2024-03-15,477,185.95
O00468,C008,P017,2024-01-05,701,173.61
O00469,C013,P001,2024-02-06,421,221.46
O00470,C022,P049,2024-04-09,498,253.4
O00471,C026,P007,2024-01-04,697,337.04
O00472,C008,P032,2024-04-01,314,157.14
O00473,C008,P002,2024-02-14,604,190.03
O00474,C035,P033,2024-06-06,626,447.56
O00475,C037,P002,2024-06-27,304,367.27
O00476,C039,P027,2024-04-21,317,225.4
O00477,C001,P050,2024-05-12,203,421.67
O00478,C036,P031,2024-04-10,348,384.29
O00479,C008,P041,2024-03-29,691,96.23
O00480,C028,P008,2024-04-18,200,176.15
O00481,C025,P042,2024-06-24,614,196.7
O00482,C038,P030,2024-06-25,437,241.6
O00483,C028,P037,2024-07-19,211,463.81
O00484,C039,P044,2024-04-04,962,337.38
O00485,C012,P036,2024-01-11,213,262.91
O00486,C020,P027,2024-04-26,679,488.85
O00487,C035,P012,2024-03-12,390,371.27
O00488,C030,P025,2024-03-21,299,182.5
O00489,C036,P011,2024-04-25,91,71.52
O00490,C032,P043,2024-02-19,445,280.27
O00491,C011,P047,2024-04-02,808,353.3
O00492,C016,P032,2024-01-20,182,353.89
O00493,C003,P019,2024-02-14,479,386.49
O00494,C021,P011,2024-02-28,118,344.92
O00495,C004,P022,2024-06-11,879,432.0
O00496,C009,P025,2024-05-01,864,272.73
O00497,C036,P013,2024-05-26,958,69.65
O00498,C010,P047,2024-01-13,814,72.03
O00499,C018,P013,2024-01-10,255,71.94
O00500,C030,P037,2024-05-04,910,57.98
O00501,C006,P009,2024-01-08,983,90.03
O00502,C013,P012,2024-04-02,302,276.18
O00503,C004,P037,2024-03-20,676,202.48
O00504,C001,P028,2024-03-27,903,122.6
O00505,C036,P008,2024-02-01,102,222.9
O00506,C039,P035,2024-01-19,425,178.21
O00507,C035,P004,2024-07-09,492,225.05
O00508,C025,P018,2024-07-05,772,485.4
O00509,C040,P044,2024-02-05,83,349.36
O00510,C027,P021,2024-07-17,114,229.56
O00511,C009,P026,2024-01-22,376,441.54
O00512,C031,P013,2024-03-05,544,66.75
O00513,C005,P020,2024-02-12,172,213.49
O00514,C036,P029,2024-03-01,499,474.04
O00515,C034,P032,2024-07-11,866,76.76
O00516,C001,P037,2024-01-07,592,203.49
O00517,C004,P027,2024-03-29,702,318.77
O00518,C031,P026,2024-03-28,295,350.73
O00519,C008,P012,2024-05-11,248,449.35
O00520,C013,P042,2024-03-17,269,243.58
O00521,C010,P001,2024-04-10,261,272.05
O00522,C004,P009,2024-04-15,703,411.33
O00523,C032,P003,2024-06-10,506,160.92
O00524,C026,P027,2024-03-01,897,291.69
O00525,C006,P028,2024-03-02,904,324.02
O00526,C028,P002,2024-04-23,509,371.59
O00527,C018,P025,2024-01-04,709,244.2
O00528,C022,P022,2024-01-12,655,391.31
O00529,C005,P038,2024-07-08,643,175.35
O00530,C018,P018,2024-02-18,677,369.33
O00531,C025,P006,2024-01-18,422,327.91
O00532,C036,P029,2024-02-17,674,364.44
O00533,C027,P042,2024-02-08,227,112.73
O00534,C022,P022,2024-03-24,506,449.7
O00535,C007,P040,2024-07-18,983,167.39
O00536,C003,P034,2024-03-29,698,478.73
O00537,C028,P025,2024-01-10,75,154.46
O00538,C018,P001,2024-02-29,646,340.32
O00539,C025,P006,2024-06-30,982,237.22
O00540,C008,P016,2024-02-25,969,439.67
O00541,C025,P013,2024-03-04,348,195.29
O00542,C035,P002,2024-02-14,325,349.67
O00543,C012,P048,2024-02-18,827,223.81
O00544,C018,P024,2024-03-12,852,279.81
O00545,C020,P038,2024-04-13,329,237.11
O00546,C022,P011,2024-01-25,700,276.95
O00547,C008,P021,2024-05-21,676,99.19
O00548,C030,P020,2024-04-15,717,388.07
O00549,C032,P045,2024-06-10,896,314.43
O00550,C007,P029,2024-05-26,719,362.39
O00551,C002,P028,2024-06-05,66,351.15
O00552,C007,P009,2024-05-18,402,247.84
O00553,C026,P002,2024-01-16,209,363.23
O00554,C011,P010,2024-05-15,321,460.81
O00555,C029,P005,2024-05-29,369,264.18
O00556,C032,P023,2024-04-14,673,226.65
O00557,C003,P002,2024-03-25,843,353.3
O00558,C012,P008,2024-01-05,745,306.14
O00559,C040,P029,2024-04-25,990,397.31
O00560,C027,P020,2024-06-26,865,340.33
O00561,C020,P045,2024-01-02,620,234.34
O00562,C006,P026,2024-01-08,399,229.26
O00563,C020,P028,2024-02-06,471,110.53
O00564,C038,P023,2024-04-15,115,113.32
O00565,C005,P028,2024-04-05,861,410.58
O00566,C033,P047,2024-02-04,694,63.24
O00567,C007,P018,2024-04-07,233,463.21
O00568,C019,P032,2024-05-14,343,223.04
O00569,C034,P023,2024-05-04,957,105.05
O00570,C034,P005,2024-04-18,671,173.35
O00571,C035,P002,2024-07-17,706,173.74
O00572,C025,P015,2024-07-06,979,201.48
O00573,C003,P003,2024-05-20,813,337.05
O00574,C029,P009,2024-02-04,675,92.11
O00575,C018,P008,2024-01-27,158,110.27
O00576,C040,P003,2024-02-16,404,284.92
O00577,C033,P019,2024-07-05,119,312.57
O00578,C026,P041,2024-02-20,697,374.62
O00579,C025,P041,2024-02-13,925,395.49
O00580,C006,P050,2024-02-23,276,495.81
O00581,C038,P017,2024-03-18,484,62.37
O00582,C005,P047,2024-05-11,573,122.05
O00583,C009,P007,2024-03-27,653,347.98
O00584,C022,P011,2024-05-19,187,124.76
O00585,C014,P008,2024-06-06,117,190.0
O00586,C015,P006,2024-02-17,131,213.12
O00587,C031,P038,2024-03-20,758,253.45
O00588,C001,P017,2024-07-05,942,330.74
O00589,C037,P050,2024-06-09,596,348.08
O00590,C015,P006,2024-06-17,859,437.87
O00591,C002,P025,2024-02-14,726,66.03
O00592,C038,P022,2024-02-28,942,407.11
O00593,C011,P033,2024-03-03,333,206.09
O00594,C005,P009,2024-06-13,903,318.84
O00595,C037,P014,2024-07-13,598,256.14
O00596,C033,P018,2024-05-13,256,84.51
O00597,C019,P037,2024-04-22,969,86.08
O00598,C029,P027,2024-05-15,903,176.5
O00599,C014,P001,2024-04-23,948,52.75
O00600,C004,P049,2024-02-12,153,289.92
O00601,C004,P050,2024-05-04,478,336.66
O00602,C035,P013,2024-06-02,201,387.83
O00603,C018,P004,2024-02-07,131,101.79
O00604,C033,P002,2024-02-14,139,399.29
O00605,C003,P030,2024-05-18,297,483.23
